0,字,한글,隋語拼音,聲母,開合,等呼,韻母,聲調
2608,鮈,,kyo,見,合,三,虞,平
2609,俱,구,kyo,見,合,三,虞,平
2610,痀,구,kyo,見,合,三,虞,平
2611,𥇛,,kyo,見,合,三,虞,平
2612,𥗫,,kyo,見,合,三,虞,平
2613,毹,,sryo,生,合,三,虞,平
2614,㡏,,sryo,生,合,三,虞,平
2615,橾,,sryo,生,合,三,虞,平
2616,螋,,sryo,生,合,三,虞,平
2617,模,모,mo,明,開,一,模,平
2618,橅,,mo,明,開,一,模,平
2619,摸,모,mo,明,開,一,模,平
2620,嫫,모,mo,明,開,一,模,平
2621,㡔,,mo,明,開,一,模,平
2622,𨡭,,mo,明,開,一,模,平
2623,謨,모,mo,明,開,一,模,平
2624,𠻚,,mo,明,開,一,模,平
2625,墲,,mo,明,開,一,模,平
2626,无,무,mo,明,開,一,模,平
2627,䉑,,mo,明,開,一,模,平
2628,膜,막,mo,明,開,一,模,平
2629,酺,,bo,並,開,一,模,平
2630,匍,포,bo,並,開,一,模,平
2631,蜅,,bo,並,開,一,模,平
2632,荹,,bo,並,開,一,模,平
2633,樸,복,bo,並,開,一,模,平
2634,菩,보,bo,並,開,一,模,平
2635,䔕,,bo,並,開,一,模,平
2636,蒲,포,bo,並,開,一,模,平
2637,蒱,,bo,並,開,一,模,平
2638,䈻,,bo,並,開,一,模,平
2639,胡,호,xo,匣,開,一,模,平
2640,𩑶,,xo,匣,開,一,模,平
2641,𠴱,,xo,匣,開,一,模,平
2642,壺,호,xo,匣,開,一,模,平
2643,狐,호,xo,匣,開,一,模,平
2644,瓳,,xo,匣,開,一,模,平
2645,餬,호,xo,匣,開,一,模,平
2646,瑚,호,xo,匣,開,一,模,平
2647,湖,호,xo,匣,開,一,模,平
2648,鶘,,xo,匣,開,一,模,平
2649,猢,호,xo,匣,開,一,模,平
2650,醐,호,xo,匣,開,一,模,平
2651,𪏻,,xo,匣,開,一,模,平
2652,䊀,,xo,匣,開,一,模,平
2653,𪍒,,xo,匣,開,一,模,平
2654,糊,호,xo,匣,開,一,模,平
2655,弧,호,xo,匣,開,一,模,平
2656,乎,호,xo,匣,開,一,模,平
2657,𠀒,,xo,匣,開,一,模,平
2658,𪕱,,xo,匣,開,一,模,平
2659,瓠,호,xo,匣,開,一,模,平
2660,葫,호,xo,匣,開,一,模,平
2661,㾰,,xo,匣,開,一,模,平
2662,魱,,xo,匣,開,一,模,平
2663,箶,,xo,匣,開,一,模,平
2664,䉉,,xo,匣,開,一,模,平
2665,𥶜,,xo,匣,開,一,模,平
2666,𧛞,,xo,匣,開,一,模,平
2667,㯛,,xo,匣,開,一,模,平
2668,虖,,xo,匣,開,一,模,平
2669,孤,고,ko,見,開,一,模,平
2670,苽,고,ko,見,開,一,模,平
2671,菰,고,ko,見,開,一,模,平
2672,胍,,ko,見,開,一,模,平
2673,𡗷,,ko,見,開,一,模,平
2674,姑,고,ko,見,開,一,模,平
2675,辜,고,ko,見,開,一,模,平
2676,呱,고,ko,見,開,一,模,平
2677,泒,,ko,見,開,一,模,平
2678,酤,고,ko,見,開,一,模,平
2679,觚,고,ko,見,開,一,模,平
2680,蛄,,ko,見,開,一,模,平
2681,箛,,ko,見,開,一,模,平
2682,鴣,고,ko,見,開,一,模,平
2683,橭,,ko,見,開,一,模,平
2684,𠷞,,ko,見,開,一,模,平
2685,沽,고,ko,見,開,一,模,平
2686,柧,,ko,見,開,一,模,平
2687,𨬕,,ko,見,開,一,模,平
2688,䉉,,ko,見,開,一,模,平
2689,𧇡,,ko,見,開,一,模,平
2690,盬,고,ko,見,開,一,模,平
2691,嫴,,ko,見,開,一,模,平
2692,罛,,ko,見,開,一,模,平
2693,軱,,ko,見,開,一,模,平
2694,箍,고,ko,見,開,一,模,平
2695,䐻,,ko,見,開,一,模,平
2696,㼋,,ko,見,開,一,模,平
2697,徒,도,do,定,開,一,模,平
2698,𨑒,,do,定,開,一,模,平
2699,屠,도,do,定,開,一,模,平
2700,瘏,,do,定,開,一,模,平
2701,塗,도,do,定,開,一,模,平
2702,途,도,do,定,開,一,模,平
2703,酴,도,do,定,開,一,模,平
2704,駼,,do,定,開,一,模,平
2705,𤙛,,do,定,開,一,模,平
2706,鵌,,do,定,開,一,模,平
2707,涂,도,do,定,開,一,模,平
2708,梌,,do,定,開,一,模,平
2709,㭸,,do,定,開,一,模,平
2710,荼,,do,定,開,一,模,平
2711,圖,도,do,定,開,一,模,平
2712,啚,비,do,定,開,一,模,平
2713,𤺈,,do,定,開,一,模,平
2714,䣝,,do,定,開,一,模,平
2715,菟,도,do,定,開,一,模,平
2716,捈,,do,定,開,一,模,平
2717,䣄,,do,定,開,一,模,平
2718,䅷,,do,定,開,一,模,平
2719,嵞,,do,定,開,一,模,平
2720,峹,,do,定,開,一,模,平
2721,𣘻,,do,定,開,一,模,平
2722,鍍,도,do,定,開,一,模,平
2723,䤅,,do,定,開,一,模,平
2724,蒤,,do,定,開,一,模,平
2725,䖘,,do,定,開,一,模,平
2726,鷵,,do,定,開,一,模,平
2727,筡,,do,定,開,一,模,平
2728,奴,노,no,泥,開,一,模,平
2729,㚢,,no,泥,開,一,模,平
2730,砮,,no,泥,開,一,模,平
2731,駑,노,no,泥,開,一,模,平
2732,帑,탕,no,泥,開,一,模,平
2733,孥,노,no,泥,開,一,模,平
2734,笯,노,no,泥,開,一,模,平
2735,呼,호,qho,曉,開,一,模,平
2736,嘑,호,qho,曉,開,一,模,平
2737,虖,,qho,曉,開,一,模,平
2738,𧦝,,qho,曉,開,一,模,平
2739,歑,,qho,曉,開,一,模,平
2740,戲,희,qho,曉,開,一,模,平
2741,謼,,qho,曉,開,一,模,平
2742,膴,무,qho,曉,開,一,模,平
2743,幠,,qho,曉,開,一,模,平
2744,葫,호,qho,曉,開,一,模,平
2745,恗,,qho,曉,開,一,模,平
2746,軤,,qho,曉,開,一,模,平
2747,虍,,qho,曉,開,一,模,平
2748,苸,,qho,曉,開,一,模,平
2749,雐,,qho,曉,開,一,模,平
2750,䰧,,qho,曉,開,一,模,平
2751,滹,,qho,曉,開,一,模,平
2752,吾,오,ŋo,疑,開,一,模,平
2753,鼯,오,ŋo,疑,開,一,模,平
2754,𪁙,,ŋo,疑,開,一,模,平
2755,𧋋,,ŋo,疑,開,一,模,平
2756,吳,오,ŋo,疑,開,一,模,平
2757,浯,,ŋo,疑,開,一,模,平
2758,䓊,,ŋo,疑,開,一,模,平
2759,㹳,,ŋo,疑,開,一,模,平
2760,㻍,,ŋo,疑,開,一,模,平
2761,珸,,ŋo,疑,開,一,模,平
2762,蜈,오,ŋo,疑,開,一,模,平
2763,郚,,ŋo,疑,開,一,模,平
2764,齬,어,ŋo,疑,開,一,模,平
2765,鯃,,ŋo,疑,開,一,模,平
2766,娪,,ŋo,疑,開,一,模,平
2767,鋘,,ŋo,疑,開,一,模,平
2768,梧,오,ŋo,疑,開,一,模,平
2769,峿,,ŋo,疑,開,一,模,平
2770,麌,우,ŋo,疑,開,一,模,平
2771,𦨳,,ŋo,疑,開,一,模,平
2772,祦,,ŋo,疑,開,一,模,平
2773,租,조,co,精,開,一,模,平
2774,蒩,,co,精,開,一,模,平
2775,盧,로,lo,來,開,一,模,平
2776,鑪,로,lo,來,開,一,模,平
2777,壚,로,lo,來,開,一,模,平
2778,籚,,lo,來,開,一,模,平
2779,蘆,로,lo,來,開,一,模,平
2780,顱,로,lo,來,開,一,模,平
2781,髗,로,lo,來,開,一,模,平
2782,鱸,로,lo,來,開,一,模,平
2783,攎,,lo,來,開,一,模,平
2784,櫨,,lo,來,開,一,模,平
2785,轤,로,lo,來,開,一,模,平
2786,黸,,lo,來,開,一,模,平
2787,獹,,lo,來,開,一,模,平
2788,鸕,로,lo,來,開,一,模,平
2789,艫,로,lo,來,開,一,模,平
2790,纑,,lo,來,開,一,模,平
2791,瀘,로,lo,來,開,一,模,平
2792,瓐,,lo,來,開,一,模,平
2793,爐,로,lo,來,開,一,模,平
2794,玈,로,lo,來,開,一,模,平
2795,𢐸,,lo,來,開,一,模,平
2796,㢚,,lo,來,開,一,模,平
2797,𤮧,,lo,來,開,一,模,平
2798,嚧,로,lo,來,開,一,模,平
2799,矑,,lo,來,開,一,模,平
2800,㿖,,lo,來,開,一,模,平
2801,㭔,,lo,來,開,一,模,平
2802,䰕,,lo,來,開,一,模,平
2803,𧇄,,lo,來,開,一,模,平
2804,𧆨,,lo,來,開,一,模,平
2805,罏,,lo,來,開,一,模,平
2806,蠦,,lo,來,開,一,模,平
2807,㪭,,lo,來,開,一,模,平
2808,𦿊,,lo,來,開,一,模,平
2809,蘇,소,so,心,開,一,模,平
2810,穌,소,so,心,開,一,模,平
2811,㢝,,so,心,開,一,模,平
2812,酥,소,so,心,開,一,模,平
2813,徂,조,dzo,從,開,一,模,平
2814,䢐,,dzo,從,開,一,模,平
2815,殂,조,dzo,從,開,一,模,平
2816,𣨐,,dzo,從,開,一,模,平
2817,烏,오,qo,影,開,一,模,平
2818,嗚,오,qo,影,開,一,模,平
2819,洿,,qo,影,開,一,模,平
2820,汚,오,qo,影,開,一,模,平
2821,杇,,qo,影,開,一,模,平
2822,圬,오,qo,影,開,一,模,平
2823,釫,,qo,影,開,一,模,平
2824,鰞,,qo,影,開,一,模,平
2825,歍,,qo,影,開,一,模,平
2826,鎢,,qo,影,開,一,模,平
2827,㢪,,qo,影,開,一,模,平
2828,於,어,qo,影,開,一,模,平
2829,瑦,,qo,影,開,一,模,平
2830,鄔,오,qo,影,開,一,模,平
2831,盓,,qo,影,開,一,模,平
2832,螐,,qo,影,開,一,模,平
2833,惡,악,qo,影,開,一,模,平
2834,扝,,qo,影,開,一,模,平
2835,𦶀,,qo,影,開,一,模,平
2836,㮧,,qo,影,開,一,模,平
2837,鴮,,qo,影,開,一,模,平
2838,逋,포,po,幫,開,一,模,平
2839,餔,포,po,幫,開,一,模,平
2840,𥂈,,po,幫,開,一,模,平
2841,晡,포,po,幫,開,一,模,平
2842,庯,,po,幫,開,一,模,平
2843,陠,,po,幫,開,一,模,平
2844,鵏,,po,幫,開,一,模,平
2845,𧻷,,po,幫,開,一,模,平
2846,峬,,po,幫,開,一,模,平
2847,誧,포,po,幫,開,一,模,平
2848,秿,,po,幫,開,一,模,平
2849,鯆,포,po,幫,開,一,模,平
2850,抪,,po,幫,開,一,模,平
2851,枯,고,kho,溪,開,一,模,平
2852,刳,고,kho,溪,開,一,模,平
2853,扝,,kho,溪,開,一,模,平
2854,郀,,kho,溪,開,一,模,平
2855,軲,,kho,溪,開,一,模,平
2856,㱠,,kho,溪,開,一,模,平
2857,跍,,kho,溪,開,一,模,平
2858,挎,,kho,溪,開,一,模,平
2859,㢪,,kho,溪,開,一,模,平
2860,橭,,kho,溪,開,一,模,平
2861,鮬,,kho,溪,開,一,模,平
2862,麤,추,cho,清,開,一,模,平
2863,麁,,cho,清,開,一,模,平
2864,𧆓,,cho,清,開,一,模,平
2865,𥼡,,cho,清,開,一,模,平
2866,觕,,cho,清,開,一,模,平
2867,𤿚,,cho,清,開,一,模,平
2868,㻌,,tho,透,開,一,模,平
2869,稌,도,tho,透,開,一,模,平
2870,悇,,tho,透,開,一,模,平
2871,嶀,,tho,透,開,一,模,平
2872,㻯,,tho,透,開,一,模,平
2873,𡸂,,tho,透,開,一,模,平
2874,庩,,tho,透,開,一,模,平
2875,䞮,,tho,透,開,一,模,平
2876,梌,,tho,透,開,一,模,平
2877,㻬,,tho,透,開,一,模,平
2878,捈,,tho,透,開,一,模,平
2879,䩣,,tho,透,開,一,模,平
2880,都,도,to,端,開,一,模,平
2881,𥳉,,to,端,開,一,模,平
2882,闍,도,to,端,開,一,模,平
2883,𦘴,,to,端,開,一,模,平
2884,𧷿,,to,端,開,一,模,平
2885,醏,,to,端,開,一,模,平
2886,䩲,,to,端,開,一,模,平
2887,𥠵,,pho,滂,開,一,模,平
2888,鋪,포,pho,滂,開,一,模,平
2889,鯆,포,pho,滂,開,一,模,平
2890,𩹲,,pho,滂,開,一,模,平
2891,𨁏,,pho,滂,開,一,模,平
2892,痡,,pho,滂,開,一,模,平
2893,誧,포,pho,滂,開,一,模,平
2894,豧,,pho,滂,開,一,模,平
2895,陠,,pho,滂,開,一,模,平
2896,墲,,pho,滂,開,一,模,平
2897,䮒,,pho,滂,開,一,模,平
2898,𢼹,,pho,滂,開,一,模,平
2899,齊,자,dzei,從,開,四,齊,平
2900,臍,제,dzei,從,開,四,齊,平
2901,麡,,dzei,從,開,四,齊,平
2902,蠐,,dzei,從,開,四,齊,平
2903,𪗍,,dzei,從,開,四,齊,平
2904,懠,,dzei,從,開,四,齊,平
2905,䶒,,dzei,從,開,四,齊,平
2906,癠,,dzei,從,開,四,齊,平
2907,𨥳,,dzei,從,開,四,齊,平
2908,黎,려,lei,來,開,四,齊,平
2909,犁,리,lei,來,開,四,齊,平
2910,𤛿,,lei,來,開,四,齊,平
2911,莉,리,lei,來,開,四,齊,平
2912,黧,리,lei,來,開,四,齊,平
2913,藜,려,lei,來,開,四,齊,平
2914,鯬,,lei,來,開,四,齊,平
2915,𦃇,,lei,來,開,四,齊,平
2916,盠,,lei,來,開,四,齊,平
2917,邌,려,lei,來,開,四,齊,平
2918,𨛫,,lei,來,開,四,齊,平
2919,廲,,lei,來,開,四,齊,平
2920,蔾,,lei,來,開,四,齊,平
2921,筣,,lei,來,開,四,齊,平
2922,驪,려,lei,來,開,四,齊,平
2923,瓈,,lei,來,開,四,齊,平
2924,𥌛,,lei,來,開,四,齊,平
2925,𩧋,,lei,來,開,四,齊,平
2926,㦒,,lei,來,開,四,齊,平
2927,謧,,lei,來,開,四,齊,平
2928,𨿯,,lei,來,開,四,齊,平
2929,妻,처,chei,清,開,四,齊,平
2930,萋,처,chei,清,開,四,齊,平
2931,淒,처,chei,清,開,四,齊,平
2932,凄,처,chei,清,開,四,齊,平
2933,悽,처,chei,清,開,四,齊,平
2934,鶈,,chei,清,開,四,齊,平
2935,郪,처,chei,清,開,四,齊,平
2936,緀,,chei,清,開,四,齊,平
2937,齌,,chei,清,開,四,齊,平
2938,霋,,chei,清,開,四,齊,平
2939,低,저,tei,端,開,四,齊,平
2940,氐,저,tei,端,開,四,齊,平
2941,袛,저,tei,端,開,四,齊,平
2942,磾,,tei,端,開,四,齊,平
2943,鞮,제,tei,端,開,四,齊,平
2944,腣,,tei,端,開,四,齊,平
2945,羝,저,tei,端,開,四,齊,平
2946,眡,,tei,端,開,四,齊,平
2947,隄,제,tei,端,開,四,齊,平
2948,堤,제,tei,端,開,四,齊,平
2949,岻,,tei,端,開,四,齊,平
2950,䧑,,tei,端,開,四,齊,平
2951,奃,,tei,端,開,四,齊,平
2952,趆,,tei,端,開,四,齊,平
2953,𡰖,,tei,端,開,四,齊,平
2954,鍉,시,tei,端,開,四,齊,平
2955,柢,저,tei,端,開,四,齊,平
2956,䐎,,tei,端,開,四,齊,平
2957,䚣,,tei,端,開,四,齊,平
2958,𥿄,,tei,端,開,四,齊,平
2959,揥,,tei,端,開,四,齊,平
2960,㓳,,tei,端,開,四,齊,平
2961,䬫,,tei,端,開,四,齊,平
2962,嗁,제,dei,定,開,四,齊,平
2963,啼,제,dei,定,開,四,齊,平
2964,㖒,,dei,定,開,四,齊,平
2965,蹏,제,dei,定,開,四,齊,平
2966,蹄,제,dei,定,開,四,齊,平
2967,𥶛,,dei,定,開,四,齊,平
2968,提,제,dei,定,開,四,齊,平
2969,詆,저,dei,定,開,四,齊,平
2970,瑅,제,dei,定,開,四,齊,平
2971,隄,제,dei,定,開,四,齊,平
2972,桋,,dei,定,開,四,齊,平
2973,題,제,dei,定,開,四,齊,平
2974,媞,,dei,定,開,四,齊,平
2975,𧡨,,dei,定,開,四,齊,平
2976,綈,,dei,定,開,四,齊,平
2977,罤,,dei,定,開,四,齊,平
2978,𣹲,,dei,定,開,四,齊,平
2979,𣖅,,dei,定,開,四,齊,平
2980,締,체,dei,定,開,四,齊,平
2981,蕛,,dei,定,開,四,齊,平
2982,稊,제,dei,定,開,四,齊,平
2983,𦯔,,dei,定,開,四,齊,平
2984,䬾,,dei,定,開,四,齊,平
2985,醍,제,dei,定,開,四,齊,平
2986,褆,,dei,定,開,四,齊,平
2987,鵜,제,dei,定,開,四,齊,平
2988,荑,제,dei,定,開,四,齊,平
2989,禔,제,dei,定,開,四,齊,平
2990,䱱,,dei,定,開,四,齊,平
2991,崹,,dei,定,開,四,齊,平
2992,緹,제,dei,定,開,四,齊,平
2993,鷤,,dei,定,開,四,齊,平
2994,鼶,,dei,定,開,四,齊,平
2995,騠,,dei,定,開,四,齊,平
2996,折,절,dei,定,開,四,齊,平
2997,䨑,,dei,定,開,四,齊,平
2998,銕,철,dei,定,開,四,齊,平
2999,䱱,,dei,定,開,四,齊,平
3000,䖙,,dei,定,開,四,齊,平
3001,𥉘,,dei,定,開,四,齊,平
3002,䬫,,dei,定,開,四,齊,平
3003,䚣,,dei,定,開,四,齊,平
3004,𢔭,,dei,定,開,四,齊,平
3005,謕,,dei,定,開,四,齊,平
3006,𡰄,,dei,定,開,四,齊,平
3007,厗,,dei,定,開,四,齊,平
3008,𪂿,,dei,定,開,四,齊,平
3009,鶙,,dei,定,開,四,齊,平
3010,𡰖,,dei,定,開,四,齊,平
3011,蝭,,dei,定,開,四,齊,平
3012,𨪉,,dei,定,開,四,齊,平
3013,鴺,,dei,定,開,四,齊,平
3014,㡗,,dei,定,開,四,齊,平
3015,銻,,dei,定,開,四,齊,平
3016,鮷,,dei,定,開,四,齊,平
3017,趧,,dei,定,開,四,齊,平
3018,𧋘,,dei,定,開,四,齊,平
3019,鮧,제,dei,定,開,四,齊,平
3020,鯷,제,dei,定,開,四,齊,平
3021,䐎,,dei,定,開,四,齊,平
3022,豍,,pei,幫,開,四,齊,平
3023,㡙,,pei,幫,開,四,齊,平
3024,螕,,pei,幫,開,四,齊,平
3025,㯅,,pei,幫,開,四,齊,平
3026,𦱔,,pei,幫,開,四,齊,平
3027,蓖,비,pei,幫,開,四,齊,平
3028,𦀘,,pei,幫,開,四,齊,平
3029,篦,비,pei,幫,開,四,齊,平
3030,梐,,pei,幫,開,四,齊,平
3031,𥏠,,pei,幫,開,四,齊,平
3032,𨻼,,pei,幫,開,四,齊,平
3033,狴,폐,pei,幫,開,四,齊,平
3034,箄,,pei,幫,開,四,齊,平
3035,鎞,,pei,幫,開,四,齊,平
3036,悂,,pei,幫,開,四,齊,平
3037,䚜,,pei,幫,開,四,齊,平
3038,雞,계,kei,見,開,四,齊,平
3039,鷄,계,kei,見,開,四,齊,平
3040,稽,계,kei,見,開,四,齊,平
3041,枅,,kei,見,開,四,齊,平
3042,笄,,kei,見,開,四,齊,平
3043,㮷,,kei,見,開,四,齊,平
3044,䗗,,kei,見,開,四,齊,平
3045,卟,게,kei,見,開,四,齊,平
3046,𥝌,,kei,見,開,四,齊,平
3047,𨪴,,kei,見,開,四,齊,平
3048,奚,해,xei,匣,開,四,齊,平
3049,豯,,xei,匣,開,四,齊,平
3050,徯,혜,xei,匣,開,四,齊,平
3051,㜎,,xei,匣,開,四,齊,平
3052,蹊,혜,xei,匣,開,四,齊,平
3053,螇,,xei,匣,開,四,齊,平
3054,榽,,xei,匣,開,四,齊,平
3055,騱,,xei,匣,開,四,齊,平
3056,胿,,xei,匣,開,四,齊,平
3057,𡗞,,xei,匣,開,四,齊,平
3058,郋,,xei,匣,開,四,齊,平
3059,𪓷,,xei,匣,開,四,齊,平
3060,傒,혜,xei,匣,開,四,齊,平
3061,嵇,,xei,匣,開,四,齊,平
3062,兮,혜,xei,匣,開,四,齊,平
3063,鼷,혜,xei,匣,開,四,齊,平
3064,蒵,,xei,匣,開,四,齊,平
3065,貕,,xei,匣,開,四,齊,平
3066,鷖,예,qei,影,開,四,齊,平
3067,翳,예,qei,影,開,四,齊,平
3068,𧫦,,qei,影,開,四,齊,平
3069,嫛,예,qei,影,開,四,齊,平
3070,黳,,qei,影,開,四,齊,平
3071,𦎣,,qei,影,開,四,齊,平
3072,㙠,,qei,影,開,四,齊,平
3073,䃜,,qei,影,開,四,齊,平
3074,黟,이,qei,影,開,四,齊,平
3075,繄,예,qei,影,開,四,齊,平
3076,䚷,,qei,影,開,四,齊,平
3077,𣕁,,qei,影,開,四,齊,平
3078,倪,예,ŋei,疑,開,四,齊,平
3079,蜺,예,ŋei,疑,開,四,齊,平
3080,霓,예,ŋei,疑,開,四,齊,平
3081,郳,,ŋei,疑,開,四,齊,平
3082,齯,,ŋei,疑,開,四,齊,平
3083,婗,,ŋei,疑,開,四,齊,平
3084,輗,,ŋei,疑,開,四,齊,平
3085,棿,,ŋei,疑,開,四,齊,平
3086,猊,예,ŋei,疑,開,四,齊,平
3087,麑,예,ŋei,疑,開,四,齊,平
3088,貎,,ŋei,疑,開,四,齊,平
3089,鯢,예,ŋei,疑,開,四,齊,平
3090,兒,아,ŋei,疑,開,四,齊,平
3091,䘽,,ŋei,疑,開,四,齊,平
3092,𠆵,,ŋei,疑,開,四,齊,平
3093,觬,,ŋei,疑,開,四,齊,平
3094,𣕁,,ŋei,疑,開,四,齊,平
3095,㪒,,ŋei,疑,開,四,齊,平
3096,醯,혜,qhei,曉,開,四,齊,平
3097,䒊,,qhei,曉,開,四,齊,平
3098,𦫬,,qhei,曉,開,四,齊,平
3099,㡗,,qhei,曉,開,四,齊,平
3100,橀,,qhei,曉,開,四,齊,平
3101,忚,,qhei,曉,開,四,齊,平
3102,西,서,sei,心,開,四,齊,平
3103,卤,,sei,心,開,四,齊,平
3104,𠧧,,sei,心,開,四,齊,平
3105,棲,서,sei,心,開,四,齊,平
3106,栖,서,sei,心,開,四,齊,平
3107,㽄,,sei,心,開,四,齊,平
3108,犀,서,sei,心,開,四,齊,平
3109,嘶,시,sei,心,開,四,齊,平
3110,撕,서,sei,心,開,四,齊,平
3111,㾷,,sei,心,開,四,齊,平
3112,𤺊,,sei,心,開,四,齊,平
3113,㯕,,sei,心,開,四,齊,平
3114,屖,,sei,心,開,四,齊,平
3115,𧬊,,sei,心,開,四,齊,平
3116,粞,,sei,心,開,四,齊,平
3117,𠞂,,sei,心,開,四,齊,平
3118,梯,제,thei,透,開,四,齊,平
3119,睇,제,thei,透,開,四,齊,平
3120,鷈,,thei,透,開,四,齊,平
3121,𠥸,,thei,透,開,四,齊,平
3122,䖙,,thei,透,開,四,齊,平
3123,㔸,,thei,透,開,四,齊,平
3124,𨁃,,thei,透,開,四,齊,平
3125,謕,,thei,透,開,四,齊,平
3126,𩤽,,thei,透,開,四,齊,平
3127,鼙,비,bei,並,開,四,齊,平
3128,鞞,,bei,並,開,四,齊,平
3129,椑,비,bei,並,開,四,齊,平
3130,膍,,bei,並,開,四,齊,平
3131,崥,,bei,並,開,四,齊,平
3132,㼰,,bei,並,開,四,齊,平
3133,笓,,bei,並,開,四,齊,平
3134,磇,,phei,滂,開,四,齊,平
3135,𨻼,,phei,滂,開,四,齊,平
3136,𠜱,,phei,滂,開,四,齊,平
3137,𪄆,,phei,滂,開,四,齊,平
3138,錍,,phei,滂,開,四,齊,平
3139,批,비,phei,滂,開,四,齊,平
3140,鈚,,phei,滂,開,四,齊,平
3141,齎,재,cei,精,開,四,齊,平
3142,賷,,cei,精,開,四,齊,平
3143,𩐒,,cei,精,開,四,齊,平
3144,齏,제,cei,精,開,四,齊,平
3145,𧅱,,cei,精,開,四,齊,平
3146,𨥳,,cei,精,開,四,齊,平
3147,櫅,,cei,精,開,四,齊,平
3148,䂑,,cei,精,開,四,齊,平
3149,擠,제,cei,精,開,四,齊,平
3150,齌,,cei,精,開,四,齊,平
3151,躋,제,cei,精,開,四,齊,平
3152,隮,,cei,精,開,四,齊,平
3153,麡,,cei,精,開,四,齊,平
3154,𢥎,,cei,精,開,四,齊,平
3155,啙,자,cei,精,開,四,齊,平
3156,迷,미,mei,明,開,四,齊,平
3157,𡝠,,mei,明,開,四,齊,平
3158,䤍,,mei,明,開,四,齊,平
3159,麛,,mei,明,開,四,齊,平
3160,𧠠,,mei,明,開,四,齊,平
3161,𪓬,,mei,明,開,四,齊,平
3162,泥,니,nei,泥,開,四,齊,平
3163,埿,,nei,泥,開,四,齊,平
3164,屔,,nei,泥,開,四,齊,平
3165,臡,,nei,泥,開,四,齊,平
3166,谿,계,khei,溪,開,四,齊,平
3167,嵠,,khei,溪,開,四,齊,平
3168,溪,계,khei,溪,開,四,齊,平
3169,磎,계,khei,溪,開,四,齊,平
3170,鸂,,khei,溪,開,四,齊,平
3171,檕,,khei,溪,開,四,齊,平
3172,螇,,khei,溪,開,四,齊,平
3173,𤳤,,khei,溪,開,四,齊,平
3174,圭,규,kuei,見,合,四,齊,平
3175,珪,규,kuei,見,合,四,齊,平
3176,邽,규,kuei,見,合,四,齊,平
3177,閨,규,kuei,見,合,四,齊,平
3178,袿,,kuei,見,合,四,齊,平
3179,窐,,kuei,見,合,四,齊,平
3180,鮭,해,kuei,見,合,四,齊,平
3181,𪊧,,kuei,見,合,四,齊,平
3182,洼,와,kuei,見,合,四,齊,平
3183,𨾴,,kuei,見,合,四,齊,平
3184,𡌲,,kuei,見,合,四,齊,平
3185,胿,,kuei,見,合,四,齊,平
3186,𦓯,,kuei,見,合,四,齊,平
3187,㰪,,kuei,見,合,四,齊,平
3188,茥,,kuei,見,合,四,齊,平
3189,睽,규,khuei,溪,合,四,齊,平
3190,奎,규,khuei,溪,合,四,齊,平
3191,湀,,khuei,溪,合,四,齊,平
3192,刲,규,khuei,溪,合,四,齊,平
3193,𠝥,,khuei,溪,合,四,齊,平
3194,茥,,khuei,溪,合,四,齊,平
3195,䯓,,khuei,溪,合,四,齊,平
3196,聧,,khuei,溪,合,四,齊,平
3197,鮭,해,khuei,溪,合,四,齊,平
3198,䖯,,khuei,溪,合,四,齊,平
3199,蝰,,khuei,溪,合,四,齊,平
3200,㨒,,khuei,溪,合,四,齊,平
3201,楏,규,khuei,溪,合,四,齊,平
3202,藈,,khuei,溪,合,四,齊,平
3203,𡐠,,khuei,溪,合,四,齊,平
3204,攜,,xuei,匣,合,四,齊,平
3205,携,휴,xuei,匣,合,四,齊,平
3206,蠵,,xuei,匣,合,四,齊,平
3207,鑴,,xuei,匣,合,四,齊,平
3208,窐,,xuei,匣,合,四,齊,平
3209,𩰳,,xuei,匣,合,四,齊,平
3210,畦,휴,xuei,匣,合,四,齊,平
3211,驨,,xuei,匣,合,四,齊,平
3212,雟,,xuei,匣,合,四,齊,平
3213,酅,,xuei,匣,合,四,齊,平
3214,𢥘,,xuei,匣,合,四,齊,平
3215,𦋅,,xuei,匣,合,四,齊,平
3216,𣫴,,xuei,匣,合,四,齊,平
3217,𡸔,,xuei,匣,合,四,齊,平
3218,纗,,xuei,匣,合,四,齊,平
3219,讗,,xuei,匣,合,四,齊,平
3220,㔒,,xuei,匣,合,四,齊,平
3221,䙵,,xuei,匣,合,四,齊,平
3222,黊,,xuei,匣,合,四,齊,平
3223,𡰢,,xuei,匣,合,四,齊,平
3224,眭,,xuei,匣,合,四,齊,平
3225,觿,,xuei,匣,合,四,齊,平
3226,䀘,,xuei,匣,合,四,齊,平
3227,臡,,ni*ei,日,開,四,齊,平
3228,栘,,di*ei,常,開,四,齊,平
3229,烓,계,quei,影,合,四,齊,平
3230,𧟼,,quei,影,合,四,齊,平
3231,𤮰,,quei,影,合,四,齊,平
3232,睳,,qhuei,曉,合,四,齊,平
3233,佳,가,kre,見,開,二,佳,平
3234,街,가,kre,見,開,二,佳,平
3235,㥟,,xre,匣,開,二,佳,平
3236,鮭,해,xre,匣,開,二,佳,平
3237,膎,,xre,匣,開,二,佳,平
3238,鞵,,xre,匣,開,二,佳,平
3239,鞋,혜,xre,匣,開,二,佳,平
3240,㨙,,xre,匣,開,二,佳,平
