盛,,diêŋ,形容詞【さかんな】、名詞【極致】、副詞【とても】、動詞【ほめたたえる】、【そだてる】。,,1
盛,,dieŋ,動詞【もりつける，おさめる】、名詞【もるもの】。,,1
聖,,shiêŋ,,,1
声,（聲）,shieŋ,,,1
製,,tiêi,,,1
西,,sei,,,1
誠,,dieŋ,,,1
青,,cheŋ,,,1
静,,dziéŋ,,,1
税,,shyêi,,,1
席,,ziek,,,1
昔,,siek,,,1
石,,diek,,,1
積,,ciek,,,1
績,,cek,,,1
責,,crek,,,1
赤,,thiek,,,1
切,,chet,,,1
接,,ciep,,,1
折,,tiet,,,1
設,,shiet,,,1
節,,cet,,,1
説,,shyet,動詞【いう】、【解釈する，評論する】、名詞【言論】。,,1
雪,,syet,,,1
絶,,dzyet,,,1
舌,,zhiet,,,1
先,,sen,,,1
千,,chen,,,1
宣,,syen,,,1
専,（專）,tyen,,,1
川,,thyen,,,1
戦,（戰）,tiên,,,1
泉,,dzyen,,,1
浅,（淺）,chién,,,1
洗,,séi,,,1
染,,niém,,,1
線,（綫）,siên,,,1
船,,zhyen,,,1
選,,syén,,,1
銭,（錢）,dzien,,,1
前,,dzen,,,1
善,,dién,,,1
然,,nien,,,1
全,,dzyen,,,1
祖,,có,,,1
素,,sô,,,1
組,,có,,,1
創,,chriâŋ,動詞【はじめる】、【いましめる】。,,1
創,,chriaŋ,名詞【きず】。,,1
倉,,chaŋ,,,1
奏,,cû,,,1
層,,dzəŋ,,,1
想,,siáŋ,,,1
操,,chau,,,1
早,,cáu,,,1
巣,（巢）,dzrau,,,1
争,,creŋ,,,1
相,,siaŋ,副詞【たがいに】。,,1
相,,siâŋ,,,1
窓,（窗）,chroŋ,,,1
総,（總）,cúŋ,,,1
草,,cháu,,,1
装,（裝）,criaŋ,,,1
走,,cú,動詞【はしる】。,,1
送,,sûŋ,,,1
像,,ziáŋ,,,1
増,（增）,cəŋ,,,1
臓,（臟）,dzâŋ,,,1
蔵,（藏）,dzaŋ,動詞【おさめる】。,,1
蔵,（藏）,dzâŋ,名詞【くら】、【経典】。,例詞：｛西藏｝,1
造,,dzáu,,,1
側,,criək,,,1
則,,cək,,,1
息,,siək,,,1
束,,shyok,,,1
測,,chriək,,,1
足,,cyok,名詞【あし】、動詞【ふむ】、形容詞【たりる】。,,1
速,,suk,,,1
属,（屬）,dyok,,,1
族,,dzuk,,,1
続,（續）,zyok,,,1
卒,,cyt,動詞【おわる，おえる】、副詞【結局】、【すべて】。,,1
存,,dzun,,,1
孫,,sun,,,1
尊,,cun,,,1
損,,sún,,,1
村,,chun,,,1
他,,tha,,,1
多,,ta,,,1
太,,thâi,,,1
打,,téŋ,,,1
体,（體）,théi,,,1
対,（對）,tûi,,,1
帯,（帶）,tâi,,,1
待,,də́i,,,1
態,,thə̂i,,,1
貸,,thə̂i,,,1
退,,thûi,,,1
隊,,dûi,,,1
代,,də̂i,,,1
台,（臺）,dəi,,,1
大,,dâi,,,1
第,,dêi,,,1
題,,dei,,,1
宅,,drak,,,1
達,,dat,,,1
谷,,kuk,,,1
単,（單）,tan,,,1
担,（擔）,tam,動詞【になう】。,,1
探,,thəm,,,1
炭,,thân,,,1
短,,tuán,,,1
誕,,dán,,,1
団,（團）,duan,,,1
断,（斷）,tuân,動詞【きめる】、副詞【かならず，きっぱりと】。,例詞：｛判斷｝,1
断,（斷）,duán,動詞【きりはなす，禁止する】。,例詞：｛斷酒｝,1
暖,,nuán,,,1
段,,duân,,,1
男,,nəm,,,1
談,,dam,,,1
値,,driə̂,,,1
知,,trie,,,1
地,,dʼî,,,1
池,,drie,,,1
置,,triə̂,,,1
築,,tryuk,,,1
竹,,tryuk,,,1
茶,,dra,,,1
着,（著）,driak,,,1
中,,tryuŋ,,,1
仲,,dryûŋ,,,1
宙,,dryû,,,1
