0,正,簡,隋文,華文,粤文,韓文,日文,華注音,韓諺文,日仮名
127,董,董,Túŋ,Dǒng,Dung2,Dong,Tô,ㄉㄨㄥˇ,동,トウ
128,梁,梁,Liaŋ,Liáng,Loeng4,Ryang,Ryô,ㄌㄧㄤˊ,량,リョウ
129,杜,杜,Dó,Dù,Dou6,Du,To,ㄉㄨˋ,두,ト
130,阮,阮,Ŋyán,Ruǎn,Jyun2,Wan,Gen,ㄖㄨㄢˇ,완,ゲン
131,藍,蓝,Lam,Lán,Laam4,Ram,Ran,ㄌㄢˊ,람,ラン
132,閔,闵,Mrýn,Mǐn,Man5,Min,Bin,ㄇㄧㄣˇ,민,ビン
133,席,席,Ziek,Xí,Zik6,Seok,Seki,ㄒㄧˊ,석,セキ
134,季,季,Kŷi,Jì,Gwai3,Gye,Ki,ㄐㄧˋ,계,キ
135,麻,麻,Mra,Má,Maa4,Ma,Ba,ㄇㄚˊ,마,バ
136,強,强,Giaŋ,Qiáng,Koeng4,Gang,Kyô,ㄑㄧㄤˊ,강,キョウ
137,賈,贾,Krá,Jiǎ,Gaa2,Ga,Ka,ㄐㄧㄚˇ,가,カ
138,路,路,Lô,Lù,Lou6,Ro,Ro,ㄌㄨˋ,로,ロ
139,婁,娄,Lu,Lóu,Lau4,Ru,Rô,ㄌㄡˊ,루,ロウ
140,危,危,Ŋrye,Wēi,Ngai1,Wi,Gi,ㄨㄟ,위,ギ
141,江,江,Kroŋ,Jiāng,Gong1,Gang,Kô,ㄐㄧㄤ,강,コウ
142,童,童,Duŋ,Tóng,Tung4,Dong,Tô,ㄊㄨㄥˊ,동,トウ
143,顏,颜,Ŋran,Yán,Ngaan4,An,Gan,ㄧㄢˊ,안,ガン
144,郭,郭,Kuak,Guō,Gwok3,Gwak,Kaku,ㄍㄨㄛ,곽,カク
145,梅,梅,Mui,Méi,Mui4,Mae,Bai,ㄇㄟˊ,매,バイ
146,盛,盛,Diêŋ,Shèng,Sing6,Seong,Sei,ㄕㄥˋ,성,セイ
147,林,林,Lim,Lín,Lam4,Rim,Rin,ㄌㄧㄣˊ,림,リン
148,刁,刁,Teu,Diāo,Diu1,Jo,Tyô,ㄉㄧㄠ,조,チョウ
149,鍾,钟,Tyoŋ,Zhōng,Zung1,Jong,Syô,ㄓㄨㄥ,종,ショウ
150,徐,徐,Zio,Xú,Ceoi4,Seo,Syo,ㄒㄩˊ,서,ショ
151,邱,邱,Khyu,Qiū,Jau1,Gu,Kyû,ㄑㄧㄡ,구,キュウ
152,駱,骆,Lak,Luò,Lok3,Rak,Raku,ㄌㄨㄛˋ,락,ラク
153,高,高,Kau,Gāo,Gou1,Go,Kô,ㄍㄠ,고,コウ
154,夏,夏,Xrá,Xià,Haa6,Ha,Ka,ㄒㄧㄚˋ,하,カ
155,蔡,蔡,Châi,Cài,Coi3,Chae,Sai,ㄘㄞˋ,채,サイ
156,田,田,Den,Tián,Tin4,Jeon,Ten,ㄊㄧㄢˊ,전,テン
157,樊,樊,Byan,Fán,Faan4,Beon,Han,ㄈㄢˊ,번,ハン
158,胡,胡,Xo,Hú,Wu4,Ho,Ko,ㄏㄨˊ,호,コ
159,凌,凌,Liəŋ,Líng,Ling4,Reung,Ryô,ㄌㄧㄥˊ,릉,リョウ
160,霍,霍,Qhuak,Huò,Fok3,Gwak,Kaku,ㄏㄨㄛˋ,곽,カク
161,虞,虞,Ŋyo,Yú,Jyu4,U,Gu,ㄩˊ,우,グ
162,萬,万,Myân,Wàn,Maan6,Man,Ban,ㄨㄢˋ,만,バン
163,支,支,Tie,Zhī,Zi1,Ji,Si,ㄓ,지,シ
164,柯,柯,Ka,Kē,O1,Ga,Ka,ㄎㄜ,가,カ
165,昝,昝,Cə́m,Zǎn,Zaan2,Jam,San,ㄗㄢˇ,잠,サン
166,管,管,Kuán,Guǎn,Gun2,Gwan,Kan,ㄍㄨㄢˇ,관,カン
167,盧,卢,Lo,Lú,Lou4,Ro,Ro,ㄌㄨˊ,로,ロ
168,莫,莫,Mak,Mò,Mok6,Mak,Baku,ㄇㄛˋ,막,バク
169,經,经,Keŋ,Jīng,Ging1,Gyeong,Kei,ㄐㄧㄥ,경,ケイ
170,房,房,Byaŋ,Fáng,Fong4,Bang,Hô,ㄈㄤˊ,방,ホウ
171,裘,裘,Gyu,Qiú,Kau4,Gu,Kyû,ㄑㄧㄡˊ,구,キュウ
172,繆,缪,Mrîu,Miào,Miu6,Mu,Byû,ㄇㄧㄠˋ,무,ビュウ
173,干,干,Kan,Gān,Gon1,Gan,Kan,ㄍㄢ,간,カン
