0,字,隋語拼音,聲符,小韻,反切,聲母,開合,等呼,韻母,聲調,《廣韻》韻目,平水韻,中古拼音,白氏拼音,他數據
885,䶴,thye,吹,98,昌垂,昌,合,三,支A,平,上平五支,上平四支,chjye,tsyhwie,
886,鈹,phrie,皮,99,敷羈,滂,開,三,支B,平,上平五支,上平四支,phie,phje,
887,帔,phrie,皮,99,敷羈,滂,開,三,支B,平,上平五支,上平四支,phie,phje,
888,鮍,phrie,皮,99,敷羈,滂,開,三,支B,平,上平五支,上平四支,phie,phje,
889,披,phrie,皮,99,敷羈,滂,開,三,支B,平,上平五支,上平四支,phie,phje,
890,𤱍,phrie,皮,99,敷羈,滂,開,三,支B,平,上平五支,上平四支,phie,phje,
891,耚,phrie,皮,99,敷羈,滂,開,三,支B,平,上平五支,上平四支,phie,phje,
892,狓,phrie,皮,99,敷羈,滂,開,三,支B,平,上平五支,上平四支,phie,phje,
893,翍,phrie,皮,99,敷羈,滂,開,三,支B,平,上平五支,上平四支,phie,phje,
894,旇,phrie,皮,99,敷羈,滂,開,三,支B,平,上平五支,上平四支,phie,phje,
895,秛,phrie,皮,99,敷羈,滂,開,三,支B,平,上平五支,上平四支,phie,phje,
896,𤿎,phrie,皮,99,敷羈,滂,開,三,支B,平,上平五支,上平四支,phie,phje,
897,㱟,phrie,皮,99,敷羈,滂,開,三,支B,平,上平五支,上平四支,phie,phje,
898,陂,prie,皮,100,彼爲,幫,開,三,支B,平,上平五支,上平四支,pie,pje,
899,詖,prie,皮,100,彼爲,幫,開,三,支B,平,上平五支,上平四支,pie,pje,
900,碑,prie,卑,100,彼爲,幫,開,三,支B,平,上平五支,上平四支,pie,pje,
901,羆,prie,罷,100,彼爲,幫,開,三,支B,平,上平五支,上平四支,pie,pje,
902,𥀍,prie,皮,100,彼爲,幫,開,三,支B,平,上平五支,上平四支,pie,pje,
903,𨰟,prie,罷,100,彼爲,幫,開,三,支B,平,上平五支,上平四支,pie,pje,
904,𤜑,prie,罷,100,彼爲,幫,開,三,支B,平,上平五支,上平四支,pie,pje,
905,𨧦,prie,皮,100,彼爲,幫,開,三,支B,平,上平五支,上平四支,pie,pje,
906,𥶓,prie,罷,100,彼爲,幫,開,三,支B,平,上平五支,上平四支,pie,pje,
907,襬,prie,罷,100,彼爲,幫,開,三,支B,平,上平五支,上平四支,pie,pje,
908,藣,prie,罷,100,彼爲,幫,開,三,支B,平,上平五支,上平四支,pie,pje,
909,隨,zye,隓,101,旬爲,邪,合,三,支A,平,上平五支,上平四支,zsye,zjwe,
910,隋,zye,隓,101,旬爲,邪,合,三,支A,平,上平五支,上平四支,zsye,zjwe,
911,𥶻,zye,隓,101,旬爲,邪,合,三,支A,平,上平五支,上平四支,zsye,zjwe,
912,虧,khrye,虍,102,去爲,溪,合,三,支B,平,上平五支,上平四支,khye,khjwe,
913,闚,khye,規,103,去隨,溪,合,三,支A,平,上平五支,上平四支,khjye,khjwie,
914,窺,khye,規,103,去隨,溪,合,三,支A,平,上平五支,上平四支,khjye,khjwie,
915,竒,grie,奇,104,渠羈,群,開,三,支B,平,上平五支,上平四支,gie,gje,
916,琦,grie,奇,104,渠羈,群,開,三,支B,平,上平五支,上平四支,gie,gje,
917,騎,grie,奇,104,渠羈,群,開,三,支B,平,上平五支,上平四支,gie,gje,
918,鵸,grie,奇,104,渠羈,群,開,三,支B,平,上平五支,上平四支,gie,gje,
919,弜,grie,弜,104,渠羈,群,開,三,支B,平,上平五支,上平四支,gie,gje,
920,鬾,grie,支,104,渠羈,群,開,三,支B,平,上平五支,上平四支,gie,gje,
921,碕,grie,奇,104,渠羈,群,開,三,支B,平,上平五支,上平四支,gie,gje,
922,𢺷,grie,支,104,渠羈,群,開,三,支B,平,上平五支,上平四支,gie,gje,
923,㩽,grie,支,104,渠羈,群,開,三,支B,平,上平五支,上平四支,gie,gje,
924,錡,grie,奇,104,渠羈,群,開,三,支B,平,上平五支,上平四支,gie,gje,
925,祇,gie,氏,105,巨支,群,開,三,支A,平,上平五支,上平四支,gje,gjie,
926,示,gie,示,105,巨支,群,開,三,支A,平,上平五支,上平四支,gje,gjie,
927,衹,gie,氐,105,巨支,群,開,三,支A,平,上平五支,上平四支,gje,gjie,
928,岐,gie,支,105,巨支,群,開,三,支A,平,上平五支,上平四支,gje,gjie,
929,歧,gie,支,105,巨支,群,開,三,支A,平,上平五支,上平四支,gje,gjie,
930,𨙸,gie,支,105,巨支,群,開,三,支A,平,上平五支,上平四支,gje,gjie,
931,馶,gie,支,105,巨支,群,開,三,支A,平,上平五支,上平四支,gje,gjie,
932,疧,gie,氏,105,巨支,群,開,三,支A,平,上平五支,上平四支,gje,gjie,
933,蚑,gie,支,105,巨支,群,開,三,支A,平,上平五支,上平四支,gje,gjie,
934,忯,gie,氏,105,巨支,群,開,三,支A,平,上平五支,上平四支,gje,gjie,
935,䞚,gie,支,105,巨支,群,開,三,支A,平,上平五支,上平四支,gje,gjie,
936,翄,gie,支,105,巨支,群,開,三,支A,平,上平五支,上平四支,gje,gjie,
937,𢻚,gie,支,105,巨支,群,開,三,支A,平,上平五支,上平四支,gje,gjie,
938,軝,gie,氏,105,巨支,群,開,三,支A,平,上平五支,上平四支,gje,gjie,
939,𩉬,gie,氏,105,巨支,群,開,三,支A,平,上平五支,上平四支,gje,gjie,
940,芪,gie,氏,105,巨支,群,開,三,支A,平,上平五支,上平四支,gje,gjie,
941,汥,gie,支,105,巨支,群,開,三,支A,平,上平五支,上平四支,gje,gjie,
942,跂,gie,支,105,巨支,群,開,三,支A,平,上平五支,上平四支,gje,gjie,
943,䲬,gie,氏,105,巨支,群,開,三,支A,平,上平五支,上平四支,gje,gjie,
944,蚑,gie,支,105,巨支,群,開,三,支A,平,上平五支,上平四支,gje,gjie,
945,䉻,gie,氏,105,巨支,群,開,三,支A,平,上平五支,上平四支,gje,gjie,
946,𦭲,gie,𦭲,105,巨支,群,開,三,支A,平,上平五支,上平四支,gje,gjie,
947,伎,gie,支,105,巨支,群,開,三,支A,平,上平五支,上平四支,gje,gjie,
948,𨱜,gie,支,105,巨支,群,開,三,支A,平,上平五支,上平四支,gje,gjie,
949,𠁭,gie,𠁭,105,巨支,群,開,三,支A,平,上平五支,上平四支,gje,gjie,
950,犧,qhrie,我,106,許羈,曉,開,三,支B,平,上平五支,上平四支,hie,xje,
951,羲,qhrie,我,106,許羈,曉,開,三,支B,平,上平五支,上平四支,hie,xje,
952,焁,qhrie,吹,106,許羈,曉,開,三,支B,平,上平五支,上平四支,hie,xje,
953,桸,qhrie,希,106,許羈,曉,開,三,支B,平,上平五支,上平四支,hie,xje,
954,巇,qhrie,虍,106,許羈,曉,開,三,支B,平,上平五支,上平四支,hie,xje,
955,羛,qhrie,弗,106,許羈,曉,開,三,支B,平,上平五支,上平四支,hie,xje,
956,戲,qhrie,虍,106,許羈,曉,開,三,支B,平,上平五支,上平四支,hie,xje,
957,𤃪,qhrie,虍,106,許羈,曉,開,三,支B,平,上平五支,上平四支,hie,xje,
958,曦,qhrie,我,106,許羈,曉,開,三,支B,平,上平五支,上平四支,hie,xje,
959,𢹍,qhrie,虍,106,許羈,曉,開,三,支B,平,上平五支,上平四支,hie,xje,
960,𧕆,qhrie,虍,106,許羈,曉,開,三,支B,平,上平五支,上平四支,hie,xje,
961,䚙,qhrie,宣,106,許羈,曉,開,三,支B,平,上平五支,上平四支,hie,xje,
962,䖒,qhrie,虍,106,許羈,曉,開,三,支B,平,上平五支,上平四支,hie,xje,
963,㺣,qhrie,虍,106,許羈,曉,開,三,支B,平,上平五支,上平四支,hie,xje,
964,𣤴,qhrie,虍,106,許羈,曉,開,三,支B,平,上平五支,上平四支,hie,xje,
965,𢨛,qhrie,虍,106,許羈,曉,開,三,支B,平,上平五支,上平四支,hie,xje,
966,㚀,qhrie,虍,106,許羈,曉,開,三,支B,平,上平五支,上平四支,hie,xje,
967,隵,qhrie,虍,106,許羈,曉,開,三,支B,平,上平五支,上平四支,hie,xje,
968,㩻,khrie,支,107,去奇,溪,開,三,支B,平,上平五支,上平四支,khie,khje,
969,觭,khrie,奇,107,去奇,溪,開,三,支B,平,上平五支,上平四支,khie,khje,
970,踦,khrie,奇,107,去奇,溪,開,三,支B,平,上平五支,上平四支,khie,khje,
971,㱦,khrie,奇,107,去奇,溪,開,三,支B,平,上平五支,上平四支,khie,khje,
972,崎,khrie,奇,107,去奇,溪,開,三,支B,平,上平五支,上平四支,khie,khje,
973,𦖊,khrie,奇,107,去奇,溪,開,三,支B,平,上平五支,上平四支,khie,khje,
974,碕,khrie,奇,107,去奇,溪,開,三,支B,平,上平五支,上平四支,khie,khje,
975,𤘌,khrie,奇,107,去奇,溪,開,三,支B,平,上平五支,上平四支,khie,khje,
976,㥓,khrie,奇,107,去奇,溪,開,三,支B,平,上平五支,上平四支,khie,khje,
977,䗁,khrie,奇,107,去奇,溪,開,三,支B,平,上平五支,上平四支,khie,khje,
978,攲,khrie,奇,107,去奇,溪,開,三,支B,平,上平五支,上平四支,khie,khje,
979,宜,ŋrie,多,108,魚羈,疑,開,三,支B,平,上平五支,上平四支,ngie,ngje,
980,宐,ŋrie,多,108,魚羈,疑,開,三,支B,平,上平五支,上平四支,ngie,ngje,
981,𠣨,ŋrie,多,108,魚羈,疑,開,三,支B,平,上平五支,上平四支,ngie,ngje,
982,㝖,ŋrie,多,108,魚羈,疑,開,三,支B,平,上平五支,上平四支,ngie,ngje,
983,儀,ŋrie,我,108,魚羈,疑,開,三,支B,平,上平五支,上平四支,ngie,ngje,
984,𥪺,ŋrie,我,108,魚羈,疑,開,三,支B,平,上平五支,上平四支,ngie,ngje,
985,䣡,ŋrie,我,108,魚羈,疑,開,三,支B,平,上平五支,上平四支,ngie,ngje,
986,䴊,ŋrie,我,108,魚羈,疑,開,三,支B,平,上平五支,上平四支,ngie,ngje,
987,轙,ŋrie,我,108,魚羈,疑,開,三,支B,平,上平五支,上平四支,ngie,ngje,
988,涯,ŋrie,圭,108,魚羈,疑,開,三,支B,平,上平五支,上平四支,ngie,ngje,
989,崖,ŋrie,圭,108,魚羈,疑,開,三,支B,平,上平五支,上平四支,ngie,ngje,
990,皮,brie,皮,109,符羈,並,開,三,支B,平,上平五支,上平四支,bie,bje,
991,疲,brie,皮,109,符羈,並,開,三,支B,平,上平五支,上平四支,bie,bje,
992,郫,brie,卑,109,符羈,並,開,三,支B,平,上平五支,上平四支,bie,bje,
993,罷,brie,罷,109,符羈,並,開,三,支B,平,上平五支,上平四支,bie,bje,
994,㯅,brie,卑,109,符羈,並,開,三,支B,平,上平五支,上平四支,bie,bje,
995,犤,brie,罷,109,符羈,並,開,三,支B,平,上平五支,上平四支,bie,bje,
996,提,die,是,110,是支,常,開,三,支A,平,上平五支,上平四支,zje,dzye,
997,𦑡,die,是,110,是支,常,開,三,支A,平,上平五支,上平四支,zje,dzye,
998,㖷,die,是,110,是支,常,開,三,支A,平,上平五支,上平四支,zje,dzye,
999,匙,die,是,110,是支,常,開,三,支A,平,上平五支,上平四支,zje,dzye,
1000,䈕,die,是,110,是支,常,開,三,支A,平,上平五支,上平四支,zje,dzye,
1001,堤,die,是,110,是支,常,開,三,支A,平,上平五支,上平四支,zje,dzye,
1002,禔,die,是,110,是支,常,開,三,支A,平,上平五支,上平四支,zje,dzye,
1003,𦳚,die,是,110,是支,常,開,三,支A,平,上平五支,上平四支,zje,dzye,
1004,忯,die,氏,110,是支,常,開,三,支A,平,上平五支,上平四支,zje,dzye,
1005,姼,die,多,110,是支,常,開,三,支A,平,上平五支,上平四支,zje,dzye,
1006,眂,die,氏,110,是支,常,開,三,支A,平,上平五支,上平四支,zje,dzye,
1007,𣏚,die,氏,110,是支,常,開,三,支A,平,上平五支,上平四支,zje,dzye,
1008,兒,nie,兒,111,汝移,日,開,三,支A,平,上平五支,上平四支,nje,nye,
1009,𠒆,nie,兒,111,汝移,日,開,三,支A,平,上平五支,上平四支,nje,nye,
1010,唲,nie,兒,111,汝移,日,開,三,支A,平,上平五支,上平四支,nje,nye,
1011,婼,nie,若,111,汝移,日,開,三,支A,平,上平五支,上平四支,nje,nye,
1012,離,lie,离,112,呂支,來,開,三,支A,平,上平五支,上平四支,lie,ljie,
1013,籬,lie,离,112,呂支,來,開,三,支A,平,上平五支,上平四支,lie,ljie,
1014,醨,lie,离,112,呂支,來,開,三,支A,平,上平五支,上平四支,lie,ljie,
1015,罹,lie,罹,112,呂支,來,開,三,支A,平,上平五支,上平四支,lie,ljie,
1016,璃,lie,离,112,呂支,來,開,三,支A,平,上平五支,上平四支,lie,ljie,
1017,酈,lie,麗,112,呂支,來,開,三,支A,平,上平五支,上平四支,lie,ljie,
1018,𣀷,lie,麗,112,呂支,來,開,三,支A,平,上平五支,上平四支,lie,ljie,
1019,驪,lie,麗,112,呂支,來,開,三,支A,平,上平五支,上平四支,lie,ljie,
1020,𪖂,lie,离,112,呂支,來,開,三,支A,平,上平五支,上平四支,lie,ljie,
1021,樆,lie,离,112,呂支,來,開,三,支A,平,上平五支,上平四支,lie,ljie,
1022,鸝,lie,麗,112,呂支,來,開,三,支A,平,上平五支,上平四支,lie,ljie,
1023,鵹,lie,利,112,呂支,來,開,三,支A,平,上平五支,上平四支,lie,ljie,
1024,𪅆,lie,离,112,呂支,來,開,三,支A,平,上平五支,上平四支,lie,ljie,
1025,縭,lie,离,112,呂支,來,開,三,支A,平,上平五支,上平四支,lie,ljie,
1026,褵,lie,离,112,呂支,來,開,三,支A,平,上平五支,上平四支,lie,ljie,
1027,蘺,lie,离,112,呂支,來,開,三,支A,平,上平五支,上平四支,lie,ljie,
1028,䕻,lie,麗,112,呂支,來,開,三,支A,平,上平五支,上平四支,lie,ljie,
1029,麗,lie,麗,112,呂支,來,開,三,支A,平,上平五支,上平四支,lie,ljie,
1030,离,lie,离,112,呂支,來,開,三,支A,平,上平五支,上平四支,lie,ljie,
1031,䍦,lie,离,112,呂支,來,開,三,支A,平,上平五支,上平四支,lie,ljie,
1032,㰚,lie,离,112,呂支,來,開,三,支A,平,上平五支,上平四支,lie,ljie,
1033,蠡,lie,𧰲,112,呂支,來,開,三,支A,平,上平五支,上平四支,lie,ljie,
1034,䅻,lie,离,112,呂支,來,開,三,支A,平,上平五支,上平四支,lie,ljie,
1035,孋,lie,麗,112,呂支,來,開,三,支A,平,上平五支,上平四支,lie,ljie,
1036,漓,lie,离,112,呂支,來,開,三,支A,平,上平五支,上平四支,lie,ljie,
1037,灕,lie,离,112,呂支,來,開,三,支A,平,上平五支,上平四支,lie,ljie,
1038,𧕯,lie,麗,112,呂支,來,開,三,支A,平,上平五支,上平四支,lie,ljie,
1039,㷰,lie,离,112,呂支,來,開,三,支A,平,上平五支,上平四支,lie,ljie,
1040,𧕮,lie,离,112,呂支,來,開,三,支A,平,上平五支,上平四支,lie,ljie,
1041,攡,lie,离,112,呂支,來,開,三,支A,平,上平五支,上平四支,lie,ljie,
1042,黐,lie,离,112,呂支,來,開,三,支A,平,上平五支,上平四支,lie,ljie,
1043,矖,lie,麗,112,呂支,來,開,三,支A,平,上平五支,上平四支,lie,ljie,
1044,穲,lie,麗,112,呂支,來,開,三,支A,平,上平五支,上平四支,lie,ljie,
1045,𢟢,lie,离,112,呂支,來,開,三,支A,平,上平五支,上平四支,lie,ljie,
1046,𢥗,lie,离,112,呂支,來,開,三,支A,平,上平五支,上平四支,lie,ljie,
1047,謧,lie,离,112,呂支,來,開,三,支A,平,上平五支,上平四支,lie,ljie,
1048,劙,lie,𧰲,112,呂支,來,開,三,支A,平,上平五支,上平四支,lie,ljie,
1049,疵,dzie,此,113,疾移,從,開,三,支A,平,上平五支,上平四支,zie,dzje,
1050,骴,dzie,此,113,疾移,從,開,三,支A,平,上平五支,上平四支,zie,dzje,
1051,玼,dzie,此,113,疾移,從,開,三,支A,平,上平五支,上平四支,zie,dzje,
1052,茈,dzie,此,113,疾移,從,開,三,支A,平,上平五支,上平四支,zie,dzje,
1053,𣐑,dzie,此,113,疾移,從,開,三,支A,平,上平五支,上平四支,zie,dzje,
1054,胔,dzie,此,113,疾移,從,開,三,支A,平,上平五支,上平四支,zie,dzje,
1055,飺,dzie,此,113,疾移,從,開,三,支A,平,上平五支,上平四支,zie,dzje,
1056,鴜,dzie,此,113,疾移,從,開,三,支A,平,上平五支,上平四支,zie,dzje,
1057,貲,cie,此,114,即移,精,開,三,支A,平,上平五支,上平四支,cie,tsje,
1058,頿,cie,此,114,即移,精,開,三,支A,平,上平五支,上平四支,cie,tsje,
1059,鴜,cie,此,114,即移,精,開,三,支A,平,上平五支,上平四支,cie,tsje,
1060,𪕊,cie,此,114,即移,精,開,三,支A,平,上平五支,上平四支,cie,tsje,
1061,鮆,cie,此,114,即移,精,開,三,支A,平,上平五支,上平四支,cie,tsje,
1062,訾,cie,此,114,即移,精,開,三,支A,平,上平五支,上平四支,cie,tsje,
1063,鄑,cie,晉,114,即移,精,開,三,支A,平,上平五支,上平四支,cie,tsje,
1064,㠿,cie,此,114,即移,精,開,三,支A,平,上平五支,上平四支,cie,tsje,
1065,媊,cie,前,114,即移,精,開,三,支A,平,上平五支,上平四支,cie,tsje,
1066,𨚖,cie,此,114,即移,精,開,三,支A,平,上平五支,上平四支,cie,tsje,
1067,㰣,cie,此,114,即移,精,開,三,支A,平,上平五支,上平四支,cie,tsje,
1068,鈭,cie,此,114,即移,精,開,三,支A,平,上平五支,上平四支,cie,tsje,
1069,姕,cie,此,114,即移,精,開,三,支A,平,上平五支,上平四支,cie,tsje,
1070,𦺱,cie,此,114,即移,精,開,三,支A,平,上平五支,上平四支,cie,tsje,
1071,䖪,cie,此,114,即移,精,開,三,支A,平,上平五支,上平四支,cie,tsje,
1072,觜,cie,此,114,即移,精,開,三,支A,平,上平五支,上平四支,cie,tsje,
1073,羈,krie,羈,115,居宜,見,開,三,支B,平,上平五支,上平四支,kie,kje,
1074,畸,krie,奇,115,居宜,見,開,三,支B,平,上平五支,上平四支,kie,kje,
1075,羇,krie,奇,115,居宜,見,開,三,支B,平,上平五支,上平四支,kie,kje,
1076,掎,krie,奇,115,居宜,見,開,三,支B,平,上平五支,上平四支,kie,kje,
1077,攲,krie,奇,115,居宜,見,開,三,支B,平,上平五支,上平四支,kie,kje,
1078,竒,krie,奇,115,居宜,見,開,三,支B,平,上平五支,上平四支,kie,kje,
1079,㱦,krie,奇,115,居宜,見,開,三,支B,平,上平五支,上平四支,kie,kje,
1080,妓,krie,支,115,居宜,見,開,三,支B,平,上平五支,上平四支,kie,kje,
1081,躸,krie,奇,115,居宜,見,開,三,支B,平,上平五支,上平四支,kie,kje,
1082,卑,pie,卑,116,府移,幫,開,三,支A,平,上平五支,上平四支,pje,pjie,
1083,鵯,pie,卑,116,府移,幫,開,三,支A,平,上平五支,上平四支,pje,pjie,
1084,椑,pie,卑,116,府移,幫,開,三,支A,平,上平五支,上平四支,pje,pjie,
1085,箄,pie,卑,116,府移,幫,開,三,支A,平,上平五支,上平四支,pje,pjie,
1086,裨,pie,卑,116,府移,幫,開,三,支A,平,上平五支,上平四支,pje,pjie,
1087,鞞,pie,卑,116,府移,幫,開,三,支A,平,上平五支,上平四支,pje,pjie,
1088,𩔹,pie,卑,116,府移,幫,開,三,支A,平,上平五支,上平四支,pje,pjie,
1089,痺,pie,卑,116,府移,幫,開,三,支A,平,上平五支,上平四支,pje,pjie,
1090,渒,pie,卑,116,府移,幫,開,三,支A,平,上平五支,上平四支,pje,pjie,
1091,錍,pie,卑,116,府移,幫,開,三,支A,平,上平五支,上平四支,pje,pjie,
1092,𢃍,pie,卑,116,府移,幫,開,三,支A,平,上平五支,上平四支,pje,pjie,
1093,陴,bie,卑,117,符支,並,開,三,支A,平,上平五支,上平四支,bje,bjie,
1094,𩫫,bie,卑,117,符支,並,開,三,支A,平,上平五支,上平四支,bje,bjie,
1095,焷,bie,卑,117,符支,並,開,三,支A,平,上平五支,上平四支,bje,bjie,
1096,脾,bie,卑,117,符支,並,開,三,支A,平,上平五支,上平四支,bje,bjie,
1097,䴽,bie,卑,117,符支,並,開,三,支A,平,上平五支,上平四支,bje,bjie,
1098,埤,bie,卑,117,符支,並,開,三,支A,平,上平五支,上平四支,bje,bjie,
1099,裨,bie,卑,117,符支,並,開,三,支A,平,上平五支,上平四支,bje,bjie,
1100,蜱,bie,卑,117,符支,並,開,三,支A,平,上平五支,上平四支,bje,bjie,
1101,𧓎,bie,卑,117,符支,並,開,三,支A,平,上平五支,上平四支,bje,bjie,
1102,螷,bie,卑,117,符支,並,開,三,支A,平,上平五支,上平四支,bje,bjie,
1103,蠯,bie,卑,117,符支,並,開,三,支A,平,上平五支,上平四支,bje,bjie,
1104,㯅,bie,卑,117,符支,並,開,三,支A,平,上平五支,上平四支,bje,bjie,
1105,郫,bie,卑,117,符支,並,開,三,支A,平,上平五支,上平四支,bje,bjie,
1106,𪌈,bie,比,117,符支,並,開,三,支A,平,上平五支,上平四支,bje,bjie,
1107,紕,bie,比,117,符支,並,開,三,支A,平,上平五支,上平四支,bje,bjie,
1108,䌳,shie,爾,118,式支,書,開,三,支A,平,上平五支,上平四支,sje,sye,
1109,絁,shie,也,118,式支,書,開,三,支A,平,上平五支,上平四支,sje,sye,
1110,施,shie,也,118,式支,書,開,三,支A,平,上平五支,上平四支,sje,sye,
1111,葹,shie,也,118,式支,書,開,三,支A,平,上平五支,上平四支,sje,sye,
1112,䙾,shie,它,118,式支,書,開,三,支A,平,上平五支,上平四支,sje,sye,
1113,鍦,shie,也,118,式支,書,開,三,支A,平,上平五支,上平四支,sje,sye,
1114,鉈,shie,它,118,式支,書,開,三,支A,平,上平五支,上平四支,sje,sye,
1115,鸍,shie,爾,118,式支,書,開,三,支A,平,上平五支,上平四支,sje,sye,
1116,𪓿,shie,爾,118,式支,書,開,三,支A,平,上平五支,上平四支,sje,sye,
1117,䗐,shie,也,118,式支,書,開,三,支A,平,上平五支,上平四支,sje,sye,
1118,𧠜,shie,台,118,式支,書,開,三,支A,平,上平五支,上平四支,sje,sye,
1119,𢻫,shie,也,118,式支,書,開,三,支A,平,上平五支,上平四支,sje,sye,
1120,斯,sie,斯,119,息移,心,開,三,支A,平,上平五支,上平四支,sie,sje,
1121,虒,sie,虒,119,息移,心,開,三,支A,平,上平五支,上平四支,sie,sje,
1122,𩆵,sie,鮮,119,息移,心,開,三,支A,平,上平五支,上平四支,sie,sje,
1123,榹,sie,虒,119,息移,心,開,三,支A,平,上平五支,上平四支,sie,sje,
1124,㴲,sie,虒,119,息移,心,開,三,支A,平,上平五支,上平四支,sie,sje,
1125,廝,sie,斯,119,息移,心,開,三,支A,平,上平五支,上平四支,sie,sje,
1126,㒋,sie,斯,119,息移,心,開,三,支A,平,上平五支,上平四支,sie,sje,
1127,凘,sie,斯,119,息移,心,開,三,支A,平,上平五支,上平四支,sie,sje,
1128,磃,sie,虒,119,息移,心,開,三,支A,平,上平五支,上平四支,sie,sje,
1129,㾷,sie,虒,119,息移,心,開,三,支A,平,上平五支,上平四支,sie,sje,
1130,傂,sie,虒,119,息移,心,開,三,支A,平,上平五支,上平四支,sie,sje,
1131,謕,sie,虒,119,息移,心,開,三,支A,平,上平五支,上平四支,sie,sje,
1132,鼶,sie,虒,119,息移,心,開,三,支A,平,上平五支,上平四支,sie,sje,
1133,𪆁,sie,斯,119,息移,心,開,三,支A,平,上平五支,上平四支,sie,sje,
1134,蟴,sie,斯,119,息移,心,開,三,支A,平,上平五支,上平四支,sie,sje,
1135,㽄,sie,斯,119,息移,心,開,三,支A,平,上平五支,上平四支,sie,sje,
1136,螔,sie,虒,119,息移,心,開,三,支A,平,上平五支,上平四支,sie,sje,
1137,䫢,sie,虒,119,息移,心,開,三,支A,平,上平五支,上平四支,sie,sje,
1138,䌳,sie,爾,119,息移,心,開,三,支A,平,上平五支,上平四支,sie,sje,
1139,䔮,sie,斯,119,息移,心,開,三,支A,平,上平五支,上平四支,sie,sje,
1140,菥,sie,析,119,息移,心,開,三,支A,平,上平五支,上平四支,sie,sje,
1141,𥕶,sie,斯,119,息移,心,開,三,支A,平,上平五支,上平四支,sie,sje,
1142,蜤,sie,析,119,息移,心,開,三,支A,平,上平五支,上平四支,sie,sje,
1143,燍,sie,斯,119,息移,心,開,三,支A,平,上平五支,上平四支,sie,sje,
1144,禠,sie,虒,119,息移,心,開,三,支A,平,上平五支,上平四支,sie,sje,
1145,鐁,sie,斯,119,息移,心,開,三,支A,平,上平五支,上平四支,sie,sje,
1146,差,chrie,左,120,楚宜,初,開,三,支B,平,上平五支,上平四支,chrie,tsrhje,
1147,嵯,chrie,左,120,楚宜,初,開,三,支B,平,上平五支,上平四支,chrie,tsrhje,
1148,𪙉,chrie,左,120,楚宜,初,開,三,支B,平,上平五支,上平四支,chrie,tsrhje,
1149,縒,chrie,左,120,楚宜,初,開,三,支B,平,上平五支,上平四支,chrie,tsrhje,
1150,摛,thrie,离,121,丑知,徹,開,三,支B,平,上平五支,上平四支,thrie,trhje,
1151,螭,thrie,离,121,丑知,徹,開,三,支B,平,上平五支,上平四支,thrie,trhje,
1152,誺,thrie,來,121,丑知,徹,開,三,支B,平,上平五支,上平四支,thrie,trhje,
1153,魑,thrie,离,121,丑知,徹,開,三,支B,平,上平五支,上平四支,thrie,trhje,
1154,黐,thrie,离,121,丑知,徹,開,三,支B,平,上平五支,上平四支,thrie,trhje,
1155,㷰,thrie,离,121,丑知,徹,開,三,支B,平,上平五支,上平四支,thrie,trhje,
1156,离,thrie,离,121,丑知,徹,開,三,支B,平,上平五支,上平四支,thrie,trhje,
1157,𡴥,thrie,离,121,丑知,徹,開,三,支B,平,上平五支,上平四支,thrie,trhje,
1158,彲,thrie,麗,121,丑知,徹,開,三,支B,平,上平五支,上平四支,thrie,trhje,
1159,彌,mie,爾,122,武移,明,開,三,支A,平,上平五支,上平四支,mje,mjie,
1160,𢏏,mie,尒,122,武移,明,開,三,支A,平,上平五支,上平四支,mje,mjie,
1161,鸍,mie,爾,122,武移,明,開,三,支A,平,上平五支,上平四支,mje,mjie,
1162,镾,mie,爾,122,武移,明,開,三,支A,平,上平五支,上平四支,mje,mjie,
1163,䍘,mie,米,122,武移,明,開,三,支A,平,上平五支,上平四支,mje,mjie,
1164,𨤐,mie,米,122,武移,明,開,三,支A,平,上平五支,上平四支,mje,mjie,
1165,𥉓,mie,必,122,武移,明,開,三,支A,平,上平五支,上平四支,mje,mjie,
1166,㣆,mie,爾,122,武移,明,開,三,支A,平,上平五支,上平四支,mje,mjie,
1167,獼,mie,爾,122,武移,明,開,三,支A,平,上平五支,上平四支,mje,mjie,
1168,𥸀,mie,爾,122,武移,明,開,三,支A,平,上平五支,上平四支,mje,mjie,
1169,擟,mie,爾,122,武移,明,開,三,支A,平,上平五支,上平四支,mje,mjie,
1170,麊,mie,米,122,武移,明,開,三,支A,平,上平五支,上平四支,mje,mjie,
1171,冞,mie,米,122,武移,明,開,三,支A,平,上平五支,上平四支,mje,mjie,
1172,㜷,mie,爾,122,武移,明,開,三,支A,平,上平五支,上平四支,mje,mjie,
1173,䥸,mie,爾,122,武移,明,開,三,支A,平,上平五支,上平四支,mje,mjie,
1174,𥎖,mie,爾,122,武移,明,開,三,支A,平,上平五支,上平四支,mje,mjie,
1175,瀰,mie,爾,122,武移,明,開,三,支A,平,上平五支,上平四支,mje,mjie,
1176,雌,chie,此,123,此移,清,開,三,支A,平,上平五支,上平四支,chie,tshje,
1177,𦙼,chie,此,123,此移,清,開,三,支A,平,上平五支,上平四支,chie,tshje,
1178,姕,chie,此,123,此移,清,開,三,支A,平,上平五支,上平四支,chie,tshje,
1179,鈭,chie,此,123,此移,清,開,三,支A,平,上平五支,上平四支,chie,tshje,
1180,𦍧,chie,此,123,此移,清,開,三,支A,平,上平五支,上平四支,chie,tshje,
