0,字,隋語拼音,聲符,小韻,反切,聲母,開合,等呼,韻母,聲調,《廣韻》韻目,平水韻,中古拼音,白氏拼音,他數據
152,偑,pyuŋ,凡,17,方戎,幫,開,三,東,平,上平一東,上平一東,piung,pjuwng,
153,檒,pyuŋ,凡,17,方戎,幫,開,三,東,平,上平一東,上平一東,piung,pjuwng,
154,𧆉,pyuŋ,凡,17,方戎,幫,開,三,東,平,上平一東,上平一東,piung,pjuwng,
155,豐,phyuŋ,丰,18,敷空,滂,開,三,東,平,上平一東,上平一東,phiung,phjuwng,《切二》、《王三》作「敷隆反」
156,酆,phyuŋ,丰,18,敷空,滂,開,三,東,平,上平一東,上平一東,phiung,phjuwng,見字號 155
157,蘴,phyuŋ,丰,18,敷空,滂,開,三,東,平,上平一東,上平一東,phiung,phjuwng,見字號 155
158,灃,phyuŋ,丰,18,敷空,滂,開,三,東,平,上平一東,上平一東,phiung,phjuwng,見字號 155
159,寷,phyuŋ,丰,18,敷空,滂,開,三,東,平,上平一東,上平一東,phiung,phjuwng,見字號 155
160,麷,phyuŋ,丰,18,敷空,滂,開,三,東,平,上平一東,上平一東,phiung,phjuwng,見字號 155
161,㒥,phyuŋ,丰,18,敷空,滂,開,三,東,平,上平一東,上平一東,phiung,phjuwng,見字號 155
162,㠦,phyuŋ,丰,18,敷空,滂,開,三,東,平,上平一東,上平一東,phiung,phjuwng,見字號 155
163,充,thyuŋ,充,19,昌終,昌,開,三,東,平,上平一東,上平一東,chjung,tsyhuwng,
164,珫,thyuŋ,充,19,昌終,昌,開,三,東,平,上平一東,上平一東,chjung,tsyhuwng,
165,茺,thyuŋ,充,19,昌終,昌,開,三,東,平,上平一東,上平一東,chjung,tsyhuwng,
166,㤝,thyuŋ,充,19,昌終,昌,開,三,東,平,上平一東,上平一東,chjung,tsyhuwng,
167,䘪,thyuŋ,充,19,昌終,昌,開,三,東,平,上平一東,上平一東,chjung,tsyhuwng,
168,𪎽,thyuŋ,充,19,昌終,昌,開,三,東,平,上平一東,上平一東,chjung,tsyhuwng,
169,㳘,thyuŋ,充,19,昌終,昌,開,三,東,平,上平一東,上平一東,chjung,tsyhuwng,
170,隆,lyuŋ,夅,20,力中,來,開,三,東,平,上平一東,上平一東,liung,ljuwng,
171,癃,lyuŋ,夅,20,力中,來,開,三,東,平,上平一東,上平一東,liung,ljuwng,
172,𪔳,lyuŋ,夅,20,力中,來,開,三,東,平,上平一東,上平一東,liung,ljuwng,
173,窿,lyuŋ,夅,20,力中,來,開,三,東,平,上平一東,上平一東,liung,ljuwng,
174,霳,lyuŋ,夅,20,力中,來,開,三,東,平,上平一東,上平一東,liung,ljuwng,
175,㚅,lyuŋ,夅,20,力中,來,開,三,東,平,上平一東,上平一東,liung,ljuwng,
176,空,khuŋ,工,21,苦紅,溪,開,一,東,平,上平一東,上平一東,khung,khuwng,
177,箜,khuŋ,工,21,苦紅,溪,開,一,東,平,上平一東,上平一東,khung,khuwng,
178,崆,khuŋ,工,21,苦紅,溪,開,一,東,平,上平一東,上平一東,khung,khuwng,
